1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0900000069B6BF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:18:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Tue Apr 27 01:18:01 PDT 2021
Total Mission Samples:  13248
Total Device Samples:  19705
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/27/21, 1:18:01 AM,C,6.572
4/27/21, 2:18:01 AM,C,6.071
4/27/21, 3:18:01 AM,C,5.068
4/27/21, 4:18:01 AM,C,4.566
4/27/21, 5:18:01 AM,C,3.563
4/27/21, 6:18:01 AM,C,3.563
4/27/21, 7:18:01 AM,C,4.065
4/27/21, 8:18:01 AM,C,14.59
4/27/21, 9:18:01 AM,C,18.595
4/27/21, 10:18:01 AM,C,23.598
4/27/21, 11:18:01 AM,C,26.597
4/27/21, 12:18:01 PM,C,31.095
4/27/21, 1:18:01 PM,C,31.095
4/27/21, 2:18:01 PM,C,31.594
4/27/21, 3:18:01 PM,C,31.095
4/27/21, 4:18:01 PM,C,25.598
4/27/21, 5:18:01 PM,C,19.095
4/27/21, 6:18:01 PM,C,18.094
4/27/21, 7:18:01 PM,C,16.092
4/27/21, 8:18:01 PM,C,14.59
4/27/21, 9:18:01 PM,C,14.089
4/27/21, 10:18:01 PM,C,15.591
4/27/21, 11:18:01 PM,C,15.09
4/28/21, 12:18:01 AM,C,14.089
4/28/21, 1:18:01 AM,C,13.588
4/28/21, 2:18:01 AM,C,13.087
4/28/21, 3:18:01 AM,C,14.59
4/28/21, 4:18:01 AM,C,16.092
4/28/21, 5:18:01 AM,C,15.591
4/28/21, 6:18:01 AM,C,15.09
4/28/21, 7:18:01 AM,C,21.097
4/28/21, 8:18:01 AM,C,29.096
4/28/21, 9:18:01 AM,C,32.094
4/28/21, 10:18:01 AM,C,36.587
4/28/21, 11:18:01 AM,C,35.589
4/28/21, 12:18:01 PM,C,36.587
4/28/21, 1:18:01 PM,C,38.583
4/28/21, 2:18:01 PM,C,40.579
4/28/21, 3:18:01 PM,C,39.581
4/28/21, 4:18:01 PM,C,32.094
4/28/21, 5:18:01 PM,C,27.097
4/28/21, 6:18:01 PM,C,25.098
4/28/21, 7:18:01 PM,C,23.598
4/28/21, 8:18:01 PM,C,20.596
4/28/21, 9:18:01 PM,C,20.596
4/28/21, 10:18:01 PM,C,20.096
4/28/21, 11:18:01 PM,C,21.597
4/29/21, 12:18:01 AM,C,17.093
4/29/21, 1:18:01 AM,C,20.596
4/29/21, 2:18:01 AM,C,15.591
4/29/21, 3:18:01 AM,C,11.584
4/29/21, 4:18:01 AM,C,13.588
4/29/21, 5:18:01 AM,C,10.582
4/29/21, 6:18:01 AM,C,12.085
4/29/21, 7:18:01 AM,C,20.096
4/29/21, 8:18:01 AM,C,34.091
4/29/21, 9:18:01 AM,C,41.577
4/29/21, 10:18:01 AM,C,44.07
4/29/21, 11:18:01 AM,C,42.075
4/29/21, 12:18:01 PM,C,43.073
4/29/21, 1:18:01 PM,C,46.064
4/29/21, 2:18:01 PM,C,43.073
4/29/21, 3:18:01 PM,C,43.073
4/29/21, 4:18:01 PM,C,37.086
4/29/21, 5:18:01 PM,C,31.095
4/29/21, 6:18:01 PM,C,27.597
4/29/21, 7:18:01 PM,C,24.598
4/29/21, 8:18:01 PM,C,21.097
4/29/21, 9:18:01 PM,C,20.596
4/29/21, 10:18:01 PM,C,18.094
4/29/21, 11:18:01 PM,C,17.093
4/30/21, 12:18:01 AM,C,16.092
4/30/21, 1:18:01 AM,C,16.092
4/30/21, 2:18:01 AM,C,17.594
4/30/21, 3:18:01 AM,C,17.594
4/30/21, 4:18:01 AM,C,16.592
4/30/21, 5:18:01 AM,C,15.591
4/30/21, 6:18:01 AM,C,14.089
4/30/21, 7:18:01 AM,C,21.097
4/30/21, 8:18:01 AM,C,35.09
4/30/21, 9:18:01 AM,C,42.574
4/30/21, 10:18:01 AM,C,43.073
4/30/21, 11:18:01 AM,C,42.075
4/30/21, 12:18:01 PM,C,41.078
4/30/21, 1:18:01 PM,C,40.579
4/30/21, 2:18:01 PM,C,39.581
4/30/21, 3:18:01 PM,C,37.086
4/30/21, 4:18:01 PM,C,34.591
4/30/21, 5:18:01 PM,C,31.095
4/30/21, 6:18:01 PM,C,29.096
4/30/21, 7:18:01 PM,C,26.597
4/30/21, 8:18:01 PM,C,22.597
4/30/21, 9:18:01 PM,C,20.596
4/30/21, 10:18:01 PM,C,17.093
4/30/21, 11:18:01 PM,C,17.093
5/1/21, 12:18:01 AM,C,17.594
5/1/21, 1:18:01 AM,C,15.591
5/1/21, 2:18:01 AM,C,16.092
5/1/21, 3:18:01 AM,C,16.592
5/1/21, 4:18:01 AM,C,13.588
5/1/21, 5:18:01 AM,C,13.087
5/1/21, 6:18:01 AM,C,11.083
5/1/21, 7:18:01 AM,C,16.592
5/1/21, 8:18:01 AM,C,26.597
5/1/21, 9:18:01 AM,C,32.593
5/1/21, 10:18:01 AM,C,29.596
5/1/21, 11:18:01 AM,C,31.594
5/1/21, 12:18:01 PM,C,34.591
5/1/21, 1:18:01 PM,C,33.093
5/1/21, 2:18:01 PM,C,31.095
5/1/21, 3:18:01 PM,C,29.096
5/1/21, 4:18:01 PM,C,25.598
5/1/21, 5:18:01 PM,C,23.097
5/1/21, 6:18:01 PM,C,20.596
5/1/21, 7:18:01 PM,C,18.595
5/1/21, 8:18:01 PM,C,16.592
5/1/21, 9:18:01 PM,C,13.087
5/1/21, 10:18:01 PM,C,13.087
5/1/21, 11:18:01 PM,C,11.584
5/2/21, 12:18:01 AM,C,10.081
5/2/21, 1:18:01 AM,C,9.079
5/2/21, 2:18:01 AM,C,9.079
5/2/21, 3:18:01 AM,C,8.076
5/2/21, 4:18:01 AM,C,7.575
5/2/21, 5:18:01 AM,C,7.575
5/2/21, 6:18:01 AM,C,6.572
5/2/21, 7:18:01 AM,C,10.582
5/2/21, 8:18:01 AM,C,25.598
5/2/21, 9:18:01 AM,C,24.598
5/2/21, 10:18:01 AM,C,25.598
5/2/21, 11:18:01 AM,C,27.097
5/2/21, 12:18:01 PM,C,28.097
5/2/21, 1:18:01 PM,C,28.597
5/2/21, 2:18:01 PM,C,27.097
5/2/21, 3:18:01 PM,C,24.598
5/2/21, 4:18:01 PM,C,23.598
5/2/21, 5:18:01 PM,C,20.096
5/2/21, 6:18:01 PM,C,18.595
5/2/21, 7:18:01 PM,C,16.592
5/2/21, 8:18:01 PM,C,14.089
5/2/21, 9:18:01 PM,C,13.087
5/2/21, 10:18:01 PM,C,12.085
5/2/21, 11:18:01 PM,C,12.085
5/3/21, 12:18:01 AM,C,12.085
5/3/21, 1:18:01 AM,C,11.083
5/3/21, 2:18:01 AM,C,11.083
5/3/21, 3:18:01 AM,C,10.081
5/3/21, 4:18:01 AM,C,9.079
5/3/21, 5:18:01 AM,C,9.58
5/3/21, 6:18:01 AM,C,9.079
5/3/21, 7:18:01 AM,C,15.09
5/3/21, 8:18:01 AM,C,32.593
5/3/21, 9:18:01 AM,C,34.091
5/3/21, 10:18:01 AM,C,40.08
5/3/21, 11:18:01 AM,C,41.577
5/3/21, 12:18:01 PM,C,42.574
5/3/21, 1:18:01 PM,C,43.073
5/3/21, 2:18:01 PM,C,35.09
5/3/21, 3:18:01 PM,C,36.088
5/3/21, 4:18:01 PM,C,33.093
5/3/21, 5:18:01 PM,C,28.097
5/3/21, 6:18:01 PM,C,26.597
5/3/21, 7:18:01 PM,C,23.097
5/3/21, 8:18:01 PM,C,19.596
5/3/21, 9:18:01 PM,C,18.595
5/3/21, 10:18:01 PM,C,17.093
5/3/21, 11:18:01 PM,C,15.09
5/4/21, 12:18:01 AM,C,14.089
5/4/21, 1:18:01 AM,C,13.087
5/4/21, 2:18:01 AM,C,10.582
5/4/21, 3:18:01 AM,C,11.584
5/4/21, 4:18:01 AM,C,9.58
5/4/21, 5:18:01 AM,C,9.079
5/4/21, 6:18:01 AM,C,9.079
5/4/21, 7:18:01 AM,C,17.093
5/4/21, 8:18:01 AM,C,29.596
5/4/21, 9:18:01 AM,C,36.088
5/4/21, 10:18:01 AM,C,35.09
5/4/21, 11:18:01 AM,C,35.09
5/4/21, 12:18:01 PM,C,38.084
5/4/21, 1:18:01 PM,C,36.587
5/4/21, 2:18:01 PM,C,35.09
5/4/21, 3:18:01 PM,C,34.591
5/4/21, 4:18:01 PM,C,32.094
5/4/21, 5:18:01 PM,C,28.597
5/4/21, 6:18:01 PM,C,26.597
5/4/21, 7:18:01 PM,C,24.098
5/4/21, 8:18:01 PM,C,20.596
5/4/21, 9:18:01 PM,C,16.592
5/4/21, 10:18:01 PM,C,15.09
5/4/21, 11:18:01 PM,C,15.09
5/5/21, 12:18:01 AM,C,14.089
5/5/21, 1:18:01 AM,C,13.588
5/5/21, 2:18:01 AM,C,13.588
5/5/21, 3:18:01 AM,C,14.089
5/5/21, 4:18:01 AM,C,13.588
5/5/21, 5:18:01 AM,C,12.085
5/5/21, 6:18:01 AM,C,11.083
5/5/21, 7:18:01 AM,C,20.596
5/5/21, 8:18:01 AM,C,32.593
5/5/21, 9:18:01 AM,C,38.583
5/5/21, 10:18:01 AM,C,38.084
5/5/21, 11:18:01 AM,C,39.082
5/5/21, 12:18:01 PM,C,38.084
5/5/21, 1:18:01 PM,C,37.585
5/5/21, 2:18:01 PM,C,35.589
5/5/21, 3:18:01 PM,C,34.591
5/5/21, 4:18:01 PM,C,32.593
5/5/21, 5:18:01 PM,C,29.096
5/5/21, 6:18:01 PM,C,27.097
5/5/21, 7:18:01 PM,C,24.098
5/5/21, 8:18:01 PM,C,20.596
5/5/21, 9:18:01 PM,C,17.093
5/5/21, 10:18:01 PM,C,15.09
5/5/21, 11:18:01 PM,C,13.588
5/6/21, 12:18:01 AM,C,12.085
5/6/21, 1:18:01 AM,C,12.085
5/6/21, 2:18:01 AM,C,10.582
5/6/21, 3:18:01 AM,C,11.083
5/6/21, 4:18:01 AM,C,11.083
5/6/21, 5:18:01 AM,C,9.079
5/6/21, 6:18:01 AM,C,7.074
5/6/21, 7:18:01 AM,C,16.592
5/6/21, 8:18:01 AM,C,27.097
5/6/21, 9:18:01 AM,C,29.596
5/6/21, 10:18:01 AM,C,30.595
5/6/21, 11:18:01 AM,C,29.096
5/6/21, 12:18:01 PM,C,31.594
5/6/21, 1:18:01 PM,C,30.595
5/6/21, 2:18:01 PM,C,28.597
5/6/21, 3:18:01 PM,C,28.097
5/6/21, 4:18:01 PM,C,25.598
5/6/21, 5:18:01 PM,C,21.597
5/6/21, 6:18:01 PM,C,19.596
5/6/21, 7:18:01 PM,C,17.093
5/6/21, 8:18:01 PM,C,15.09
5/6/21, 9:18:01 PM,C,13.087
5/6/21, 10:18:01 PM,C,11.584
5/6/21, 11:18:01 PM,C,10.582
5/7/21, 12:18:01 AM,C,10.081
5/7/21, 1:18:01 AM,C,10.582
5/7/21, 2:18:01 AM,C,11.584
5/7/21, 3:18:01 AM,C,11.584
5/7/21, 4:18:01 AM,C,11.584
5/7/21, 5:18:01 AM,C,11.584
5/7/21, 6:18:01 AM,C,11.083
5/7/21, 7:18:01 AM,C,12.085
5/7/21, 8:18:01 AM,C,13.588
5/7/21, 9:18:01 AM,C,15.591
5/7/21, 10:18:01 AM,C,21.097
5/7/21, 11:18:01 AM,C,30.595
5/7/21, 12:18:01 PM,C,27.097
5/7/21, 1:18:01 PM,C,27.097
5/7/21, 2:18:01 PM,C,26.597
5/7/21, 3:18:01 PM,C,26.597
5/7/21, 4:18:01 PM,C,24.098
5/7/21, 5:18:01 PM,C,20.096
5/7/21, 6:18:01 PM,C,19.095
5/7/21, 7:18:01 PM,C,17.093
5/7/21, 8:18:01 PM,C,14.59
5/7/21, 9:18:01 PM,C,13.087
5/7/21, 10:18:01 PM,C,11.083
5/7/21, 11:18:01 PM,C,10.582
5/8/21, 12:18:01 AM,C,9.079
5/8/21, 1:18:01 AM,C,8.578
5/8/21, 2:18:01 AM,C,7.575
5/8/21, 3:18:01 AM,C,8.076
5/8/21, 4:18:01 AM,C,7.575
5/8/21, 5:18:01 AM,C,7.575
5/8/21, 6:18:01 AM,C,6.071
5/8/21, 7:18:01 AM,C,14.59
5/8/21, 8:18:01 AM,C,23.598
5/8/21, 9:18:01 AM,C,25.598
5/8/21, 10:18:01 AM,C,26.597
5/8/21, 11:18:01 AM,C,27.597
5/8/21, 12:18:01 PM,C,29.596
5/8/21, 1:18:01 PM,C,29.596
5/8/21, 2:18:01 PM,C,29.096
5/8/21, 3:18:01 PM,C,28.097
5/8/21, 4:18:01 PM,C,26.098
5/8/21, 5:18:01 PM,C,22.097
5/8/21, 6:18:01 PM,C,20.596
5/8/21, 7:18:01 PM,C,18.595
5/8/21, 8:18:01 PM,C,16.092
5/8/21, 9:18:01 PM,C,14.089
5/8/21, 10:18:01 PM,C,12.085
5/8/21, 11:18:01 PM,C,10.582
5/9/21, 12:18:01 AM,C,10.081
5/9/21, 1:18:01 AM,C,9.58
5/9/21, 2:18:01 AM,C,8.076
5/9/21, 3:18:01 AM,C,7.575
5/9/21, 4:18:01 AM,C,7.575
5/9/21, 5:18:01 AM,C,6.572
5/9/21, 6:18:01 AM,C,6.572
5/9/21, 7:18:01 AM,C,13.588
5/9/21, 8:18:01 AM,C,24.598
5/9/21, 9:18:01 AM,C,26.098
5/9/21, 10:18:01 AM,C,26.597
5/9/21, 11:18:01 AM,C,28.597
5/9/21, 12:18:01 PM,C,28.097
5/9/21, 1:18:01 PM,C,28.097
5/9/21, 2:18:01 PM,C,27.097
5/9/21, 3:18:01 PM,C,26.597
5/9/21, 4:18:01 PM,C,24.098
5/9/21, 5:18:01 PM,C,21.597
5/9/21, 6:18:01 PM,C,19.596
5/9/21, 7:18:01 PM,C,17.594
5/9/21, 8:18:01 PM,C,15.09
5/9/21, 9:18:01 PM,C,13.087
5/9/21, 10:18:01 PM,C,12.085
5/9/21, 11:18:01 PM,C,11.083
5/10/21, 12:18:01 AM,C,10.081
5/10/21, 1:18:01 AM,C,10.582
5/10/21, 2:18:01 AM,C,12.586
5/10/21, 3:18:01 AM,C,12.586
5/10/21, 4:18:01 AM,C,13.087
5/10/21, 5:18:01 AM,C,13.087
5/10/21, 6:18:01 AM,C,13.087
5/10/21, 7:18:01 AM,C,14.59
5/10/21, 8:18:01 AM,C,19.095
5/10/21, 9:18:01 AM,C,28.597
5/10/21, 10:18:01 AM,C,31.095
5/10/21, 11:18:01 AM,C,31.095
5/10/21, 12:18:01 PM,C,29.096
5/10/21, 1:18:01 PM,C,29.596
5/10/21, 2:18:01 PM,C,27.097
5/10/21, 3:18:01 PM,C,25.598
5/10/21, 4:18:01 PM,C,23.097
5/10/21, 5:18:01 PM,C,19.596
5/10/21, 6:18:01 PM,C,18.595
5/10/21, 7:18:01 PM,C,16.592
5/10/21, 8:18:01 PM,C,14.59
5/10/21, 9:18:01 PM,C,13.087
5/10/21, 10:18:01 PM,C,11.584
5/10/21, 11:18:01 PM,C,11.083
5/11/21, 12:18:01 AM,C,9.58
5/11/21, 1:18:01 AM,C,9.58
5/11/21, 2:18:01 AM,C,8.578
5/11/21, 3:18:01 AM,C,8.578
5/11/21, 4:18:01 AM,C,8.076
5/11/21, 5:18:01 AM,C,8.076
5/11/21, 6:18:01 AM,C,8.578
5/11/21, 7:18:01 AM,C,15.591
5/11/21, 8:18:01 AM,C,23.097
5/11/21, 9:18:01 AM,C,25.098
5/11/21, 10:18:01 AM,C,27.597
5/11/21, 11:18:01 AM,C,27.597
5/11/21, 12:18:01 PM,C,29.596
5/11/21, 1:18:01 PM,C,29.596
5/11/21, 2:18:01 PM,C,30.595
5/11/21, 3:18:01 PM,C,29.096
5/11/21, 4:18:01 PM,C,28.097
5/11/21, 5:18:01 PM,C,25.598
5/11/21, 6:18:01 PM,C,23.097
5/11/21, 7:18:01 PM,C,20.096
5/11/21, 8:18:01 PM,C,16.592
5/11/21, 9:18:01 PM,C,14.089
5/11/21, 10:18:01 PM,C,13.087
5/11/21, 11:18:01 PM,C,12.085
5/12/21, 12:18:01 AM,C,11.083
5/12/21, 1:18:01 AM,C,10.582
5/12/21, 2:18:01 AM,C,10.081
5/12/21, 3:18:01 AM,C,11.083
5/12/21, 4:18:01 AM,C,10.582
5/12/21, 5:18:01 AM,C,10.081
5/12/21, 6:18:01 AM,C,10.582
5/12/21, 7:18:01 AM,C,11.584
5/12/21, 8:18:01 AM,C,24.598
5/12/21, 9:18:01 AM,C,30.595
5/12/21, 10:18:01 AM,C,31.594
5/12/21, 11:18:01 AM,C,31.095
5/12/21, 12:18:01 PM,C,33.093
5/12/21, 1:18:01 PM,C,32.593
5/12/21, 2:18:01 PM,C,32.094
5/12/21, 3:18:01 PM,C,31.095
5/12/21, 4:18:01 PM,C,29.096
5/12/21, 5:18:01 PM,C,24.598
5/12/21, 6:18:01 PM,C,22.097
5/12/21, 7:18:01 PM,C,19.095
5/12/21, 8:18:01 PM,C,15.591
5/12/21, 9:18:01 PM,C,13.588
5/12/21, 10:18:01 PM,C,12.586
5/12/21, 11:18:01 PM,C,11.584
5/13/21, 12:18:01 AM,C,11.584
5/13/21, 1:18:01 AM,C,12.586
5/13/21, 2:18:01 AM,C,12.085
5/13/21, 3:18:01 AM,C,12.085
5/13/21, 4:18:01 AM,C,11.584
5/13/21, 5:18:01 AM,C,10.081
5/13/21, 6:18:01 AM,C,10.582
5/13/21, 7:18:01 AM,C,13.588
5/13/21, 8:18:01 AM,C,21.597
5/13/21, 9:18:01 AM,C,24.098
5/13/21, 10:18:01 AM,C,28.597
5/13/21, 11:18:01 AM,C,30.096
5/13/21, 12:18:01 PM,C,30.595
5/13/21, 1:18:01 PM,C,29.596
5/13/21, 2:18:01 PM,C,29.096
5/13/21, 3:18:01 PM,C,29.096
5/13/21, 4:18:01 PM,C,27.597
5/13/21, 5:18:01 PM,C,24.098
5/13/21, 6:18:01 PM,C,21.597
5/13/21, 7:18:01 PM,C,18.595
5/13/21, 8:18:01 PM,C,15.591
5/13/21, 9:18:01 PM,C,13.087
5/13/21, 10:18:01 PM,C,12.085
5/13/21, 11:18:01 PM,C,11.584
5/14/21, 12:18:01 AM,C,11.083
5/14/21, 1:18:01 AM,C,11.584
5/14/21, 2:18:01 AM,C,11.584
5/14/21, 3:18:01 AM,C,11.584
5/14/21, 4:18:01 AM,C,11.584
5/14/21, 5:18:01 AM,C,11.083
5/14/21, 6:18:01 AM,C,11.083
5/14/21, 7:18:01 AM,C,11.584
5/14/21, 8:18:01 AM,C,13.588
5/14/21, 9:18:01 AM,C,16.092
5/14/21, 10:18:01 AM,C,26.098
5/14/21, 11:18:01 AM,C,29.096
5/14/21, 12:18:01 PM,C,30.096
5/14/21, 1:18:01 PM,C,27.597
5/14/21, 2:18:01 PM,C,27.597
5/14/21, 3:18:01 PM,C,27.097
5/14/21, 4:18:01 PM,C,25.598
5/14/21, 5:18:01 PM,C,23.598
5/14/21, 6:18:01 PM,C,20.096
5/14/21, 7:18:01 PM,C,16.592
5/14/21, 8:18:01 PM,C,14.089
5/14/21, 9:18:01 PM,C,12.586
5/14/21, 10:18:01 PM,C,12.085
5/14/21, 11:18:01 PM,C,10.081
5/15/21, 12:18:01 AM,C,10.582
5/15/21, 1:18:01 AM,C,11.584
5/15/21, 2:18:01 AM,C,11.584
5/15/21, 3:18:01 AM,C,12.085
5/15/21, 4:18:01 AM,C,12.085
5/15/21, 5:18:01 AM,C,12.085
5/15/21, 6:18:01 AM,C,12.085
5/15/21, 7:18:01 AM,C,12.085
5/15/21, 8:18:01 AM,C,13.588
5/15/21, 9:18:01 AM,C,14.59
5/15/21, 10:18:01 AM,C,17.594
5/15/21, 11:18:01 AM,C,18.595
5/15/21, 12:18:01 PM,C,23.598
5/15/21, 1:18:01 PM,C,28.097
5/15/21, 2:18:01 PM,C,24.598
5/15/21, 3:18:01 PM,C,25.598
5/15/21, 4:18:01 PM,C,23.097
5/15/21, 5:18:01 PM,C,19.095
5/15/21, 6:18:01 PM,C,17.093
5/15/21, 7:18:01 PM,C,15.591
5/15/21, 8:18:01 PM,C,14.089
5/15/21, 9:18:01 PM,C,14.089
5/15/21, 10:18:01 PM,C,13.588
5/15/21, 11:18:01 PM,C,12.586
5/16/21, 12:18:01 AM,C,12.085
5/16/21, 1:18:01 AM,C,11.584
5/16/21, 2:18:01 AM,C,12.085
5/16/21, 3:18:01 AM,C,12.085
5/16/21, 4:18:01 AM,C,11.584
5/16/21, 5:18:01 AM,C,12.085
5/16/21, 6:18:01 AM,C,11.584
5/16/21, 7:18:01 AM,C,11.584
5/16/21, 8:18:01 AM,C,12.586
5/16/21, 9:18:01 AM,C,14.089
5/16/21, 10:18:01 AM,C,16.592
5/16/21, 11:18:01 AM,C,17.594
5/16/21, 12:18:01 PM,C,21.097
5/16/21, 1:18:01 PM,C,18.094
5/16/21, 2:18:01 PM,C,17.093
5/16/21, 3:18:01 PM,C,17.594
5/16/21, 4:18:01 PM,C,19.596
5/16/21, 5:18:01 PM,C,18.595
5/16/21, 6:18:01 PM,C,16.592
5/16/21, 7:18:01 PM,C,15.591
5/16/21, 8:18:01 PM,C,14.089
5/16/21, 9:18:01 PM,C,13.588
5/16/21, 10:18:01 PM,C,12.586
5/16/21, 11:18:01 PM,C,12.586
5/17/21, 12:18:01 AM,C,12.586
5/17/21, 1:18:01 AM,C,12.085
5/17/21, 2:18:01 AM,C,12.085
5/17/21, 3:18:01 AM,C,11.584
5/17/21, 4:18:01 AM,C,11.584
5/17/21, 5:18:01 AM,C,11.584
5/17/21, 6:18:01 AM,C,11.584
5/17/21, 7:18:01 AM,C,12.586
5/17/21, 8:18:01 AM,C,16.092
5/17/21, 9:18:01 AM,C,18.094
5/17/21, 10:18:01 AM,C,28.597
5/17/21, 11:18:01 AM,C,25.598
5/17/21, 12:18:01 PM,C,27.097
5/17/21, 1:18:01 PM,C,27.597
5/17/21, 2:18:01 PM,C,25.598
5/17/21, 3:18:01 PM,C,25.098
5/17/21, 4:18:01 PM,C,23.097
5/17/21, 5:18:01 PM,C,20.596
5/17/21, 6:18:01 PM,C,19.095
5/17/21, 7:18:01 PM,C,17.594
5/17/21, 8:18:01 PM,C,15.09
5/17/21, 9:18:01 PM,C,13.087
5/17/21, 10:18:01 PM,C,12.085
5/17/21, 11:18:01 PM,C,11.083
5/18/21, 12:18:01 AM,C,9.58
5/18/21, 1:18:01 AM,C,9.079
5/18/21, 2:18:01 AM,C,7.575
5/18/21, 3:18:01 AM,C,7.575
5/18/21, 4:18:01 AM,C,7.074
5/18/21, 5:18:01 AM,C,7.074
5/18/21, 6:18:01 AM,C,7.074
5/18/21, 7:18:01 AM,C,9.58
5/18/21, 8:18:01 AM,C,13.588
5/18/21, 9:18:01 AM,C,25.598
5/18/21, 10:18:01 AM,C,28.097
5/18/21, 11:18:01 AM,C,29.596
5/18/21, 12:18:01 PM,C,31.594
5/18/21, 1:18:01 PM,C,31.594
5/18/21, 2:18:01 PM,C,31.594
5/18/21, 3:18:01 PM,C,31.095
5/18/21, 4:18:01 PM,C,29.096
5/18/21, 5:18:01 PM,C,25.098
5/18/21, 6:18:01 PM,C,24.098
5/18/21, 7:18:01 PM,C,22.097
5/18/21, 8:18:01 PM,C,18.595
5/18/21, 9:18:01 PM,C,15.09
5/18/21, 10:18:01 PM,C,14.089
5/18/21, 11:18:01 PM,C,12.586
5/19/21, 12:18:01 AM,C,10.081
5/19/21, 1:18:01 AM,C,10.081
5/19/21, 2:18:01 AM,C,9.58
5/19/21, 3:18:01 AM,C,9.079
5/19/21, 4:18:01 AM,C,9.079
5/19/21, 5:18:01 AM,C,7.575
5/19/21, 6:18:01 AM,C,9.079
5/19/21, 7:18:01 AM,C,16.592
5/19/21, 8:18:01 AM,C,25.598
5/19/21, 9:18:01 AM,C,28.597
5/19/21, 10:18:01 AM,C,29.596
5/19/21, 11:18:01 AM,C,30.096
5/19/21, 12:18:01 PM,C,29.096
5/19/21, 1:18:01 PM,C,28.597
5/19/21, 2:18:01 PM,C,27.097
5/19/21, 3:18:01 PM,C,26.098
5/19/21, 4:18:01 PM,C,24.598
5/19/21, 5:18:01 PM,C,21.597
5/19/21, 6:18:01 PM,C,20.096
5/19/21, 7:18:01 PM,C,18.595
5/19/21, 8:18:01 PM,C,16.592
5/19/21, 9:18:01 PM,C,14.089
5/19/21, 10:18:01 PM,C,12.085
5/19/21, 11:18:01 PM,C,11.584
5/20/21, 12:18:01 AM,C,10.081
5/20/21, 1:18:01 AM,C,9.58
5/20/21, 2:18:01 AM,C,9.079
5/20/21, 3:18:01 AM,C,8.578
5/20/21, 4:18:01 AM,C,7.575
5/20/21, 5:18:01 AM,C,7.575
5/20/21, 6:18:01 AM,C,7.074
5/20/21, 7:18:01 AM,C,17.093
5/20/21, 8:18:01 AM,C,25.598
5/20/21, 9:18:01 AM,C,28.597
5/20/21, 10:18:01 AM,C,32.593
5/20/21, 11:18:01 AM,C,32.094
5/20/21, 12:18:01 PM,C,33.592
5/20/21, 1:18:01 PM,C,33.093
5/20/21, 2:18:01 PM,C,31.594
5/20/21, 3:18:01 PM,C,27.097
5/20/21, 4:18:01 PM,C,24.098
5/20/21, 5:18:01 PM,C,20.096
5/20/21, 6:18:01 PM,C,18.595
5/20/21, 7:18:01 PM,C,16.592
5/20/21, 8:18:01 PM,C,13.588
5/20/21, 9:18:01 PM,C,12.085
5/20/21, 10:18:01 PM,C,11.584
5/20/21, 11:18:01 PM,C,13.087
5/21/21, 12:18:01 AM,C,10.081
5/21/21, 1:18:01 AM,C,12.085
5/21/21, 2:18:01 AM,C,9.58
5/21/21, 3:18:01 AM,C,7.575
5/21/21, 4:18:01 AM,C,6.071
5/21/21, 5:18:01 AM,C,6.572
5/21/21, 6:18:01 AM,C,5.068
5/21/21, 7:18:01 AM,C,17.594
5/21/21, 8:18:01 AM,C,24.598
5/21/21, 9:18:01 AM,C,24.598
5/21/21, 10:18:01 AM,C,21.597
5/21/21, 11:18:01 AM,C,25.598
5/21/21, 12:18:01 PM,C,24.098
5/21/21, 1:18:01 PM,C,19.596
5/21/21, 2:18:01 PM,C,18.094
5/21/21, 3:18:01 PM,C,11.083
5/21/21, 4:18:01 PM,C,11.083
5/21/21, 5:18:01 PM,C,14.089
5/21/21, 6:18:01 PM,C,10.081
5/21/21, 7:18:01 PM,C,10.081
5/21/21, 8:18:01 PM,C,8.076
5/21/21, 9:18:01 PM,C,8.076
5/21/21, 10:18:01 PM,C,11.083
5/21/21, 11:18:01 PM,C,8.578
5/22/21, 12:18:01 AM,C,8.578
5/22/21, 1:18:01 AM,C,6.572
5/22/21, 2:18:01 AM,C,7.074
5/22/21, 3:18:01 AM,C,6.572
5/22/21, 4:18:01 AM,C,5.569
5/22/21, 5:18:01 AM,C,4.065
5/22/21, 6:18:01 AM,C,5.068
5/22/21, 7:18:01 AM,C,9.58
5/22/21, 8:18:01 AM,C,13.588
5/22/21, 9:18:01 AM,C,22.597
5/22/21, 10:18:01 AM,C,24.098
5/22/21, 11:18:01 AM,C,27.097
5/22/21, 12:18:01 PM,C,26.098
5/22/21, 1:18:01 PM,C,25.098
5/22/21, 2:18:01 PM,C,24.598
5/22/21, 3:18:01 PM,C,23.598
5/22/21, 4:18:01 PM,C,22.097
5/22/21, 5:18:01 PM,C,18.094
5/22/21, 6:18:01 PM,C,15.591
5/22/21, 7:18:01 PM,C,14.59
5/22/21, 8:18:01 PM,C,12.586
5/22/21, 9:18:01 PM,C,11.083
